"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"219625_s_at",140.6,141.9,136.1,32.3,339.4,283.9,37,215.5,96.2,149.7,164.8,42.5,58.7,222
"219628_at",511.6,436,339.3,313,363.6,207.6,150.3,166.9,330,50,189.4,72.4,100.5,60.8
"219630_at",67.1,92.3,188.2,387.9,33.1,309.8,39.8,516.3,527.8,846.4,286.6,981.4,104,150
"219632_s_at",281.4,120,200.5,155,85.2,151.4,353.5,167.9,130,134.1,103.5,196.1,98.6,116.5
"219634_at",345.2,360.4,395.5,439.5,281.2,304.8,159.4,457,478.9,493.9,420.8,525.5,440.9,479.3
"219638_at",84.8,61.4,30.9,50.1,10.9,12.5,46.2,39.5,40.4,12.4,68.7,53.6,55.1,47.1
"219640_at",127.2,132.1,263.8,305.9,201,115,96.1,301,201.2,223.4,201.8,132,257.1,58.4
"219643_at",29.4,1.5,2.5,41.3,28.9,2,24.9,45.4,27,13.2,2.3,24.1,2.4,7.7
"219644_at",132.8,93.7,99,142.9,57.2,144.4,313.4,61.8,49.5,125.1,60.4,39.6,55.5,81.1
"219645_at",126.8,82.2,92.6,138.9,138.6,84.5,339.9,68.9,106.9,75.1,55.8,120.7,67.5,79.7
"219647_at",116.9,79,62.9,52.1,41.9,18.8,27.3,67.7,53,43.8,50,44.1,19.3,40.3
"219649_at",1161.3,778.8,881.8,969.2,560.9,515,998.6,392.7,591.4,376,794.3,588.1,884.9,765.8
"219654_at",34,91.9,33.1,93.1,72.9,6,10.3,141.7,11.9,117.9,162.6,147.5,56,31.9
"219656_at",20.5,11,18.6,21.3,27.9,52.2,40.1,51.5,16.8,17.8,22.1,18.7,15.3,10.7
"219657_s_at",277.8,465.9,438.7,398,245.9,239.6,369.2,390.3,426.1,438.5,490.9,310,335.8,456.6
"219659_at",84.1,74.7,122.6,114.7,105.9,21.2,236.6,59.5,72.7,34.2,27.6,49.5,54.7,22.4
"219661_at",48.2,116.6,82.7,32.6,208.3,176.8,279.8,249.7,33.6,137.8,118,152.6,136.3,94.2
"219664_s_at",281.9,118.9,188.1,458.7,311.4,206.1,606.8,44.5,248.6,250.2,67.6,133.5,180.9,228.4
"219666_at",2545.4,3312.2,3855.3,3622.7,3057.1,3501.1,5765.3,1937.6,3231.7,3641.3,2272.7,1199,2182.1,2142.3
"219669_at",59.6,17.7,109.2,172.5,350,453.1,805.7,2127.9,578,517.6,5055.1,8186.5,69.6,1246.9
"219671_at",155.6,117.3,201.7,170.4,116.1,73.3,384.5,208.2,193.4,94.7,99.3,118.8,53.1,52.7
"219683_at",109.1,62.5,86.2,149.2,51.6,64.9,222.6,88.1,17.4,50.6,54.2,40.5,69.1,47
"219684_at",265.6,680,291.1,260,111.1,204.4,210.9,159.1,207.6,497.4,59.3,133.9,346.9,17.8
"219686_at",38.1,10.1,21.3,39.3,7.8,26.4,28.3,191.6,33.9,24.2,30.7,27.5,29.2,16.3
"219689_at",299.3,133.1,168.8,169.8,225.6,184,98.8,103.2,103,157.3,148.9,226.1,170.5,164.3
"219693_at",69.6,182.9,111.4,184.4,139.7,100.6,25.4,38.2,169.3,132.6,196,167.9,186.6,88.8
"219697_at",118.2,92.5,132.1,123.7,119.7,94.1,30.9,168.3,90.7,133.6,146.2,102.4,115,89.3
"219700_at",363,234,377.9,309.4,103.8,292.2,76.5,95,107.2,65.5,85,141,173.7,30.1
"219701_at",38.6,40,56.6,69.8,28.7,33.2,51.1,67.1,20.2,6.9,6,18.1,40.2,2.9
"219702_at",151.8,111.7,90.7,173.8,71.1,69.6,27.4,33.7,108.4,152.7,86.7,111,127,113.6
"219704_at",61.8,70.4,25.1,31,37.5,71.3,37.9,98.3,24.6,23.2,104.9,48.6,74.6,94.9
"219707_at",94.6,202,166.7,201.8,326.7,351.1,354.4,551.3,287.3,184.6,212.2,289,274.8,247.2
"219708_at",95.1,66.2,30.9,89.7,187,133,119.3,162.3,185.1,190.7,127.6,25.6,101.9,51.4
"219712_s_at",27,32.6,18.4,19.9,21.1,27.3,17.2,59.8,20.4,7.5,18.1,13.9,16.1,15.5
"219714_s_at",316.1,120.2,436.6,422.4,234.7,158.3,18.7,63.2,188.4,21.2,12.5,27.6,91.3,21.5
"219716_at",567.2,611.2,376.3,381.6,206.8,183.8,377.2,276.6,229.6,318.2,183.2,251.7,229,185.2
"219719_at",32.3,16.4,18.1,22.6,23.2,11.9,13.3,33.8,21.8,27.9,23.6,36.8,19.7,10
"219723_x_at",90,154.5,190.7,63.2,139.6,215.3,32.3,43.3,114.5,117.7,91.1,18,122.6,112.1
"219725_at",119.7,28.8,24.9,14.8,28.4,19.2,66.9,17.5,17.1,13.5,15,46.6,12.6,38.6
"219726_at",104.2,81.8,89.6,27.6,213.9,122.8,122.1,106.3,8.5,70.8,133.3,97.3,54.6,71.1
"219727_at",29.6,12.6,13.9,16.1,22.1,55.6,110.3,5,14.8,29,10.2,27.1,6.8,13.6
"219728_at",30.2,28.2,56.1,89.1,10.2,22.7,169.6,15,21.7,42.3,9.2,60.8,20.6,35.2
"219729_at",129.6,11.7,24.3,48.3,18.6,48.2,52.6,54.5,14.7,35.2,15.3,25.2,20.2,20.1
