,GSM30361,GSM30362,GSM30363,GSM30364,GSM30365,GSM30366,GSM30367,GSM30368,GSM30369,GSM30370,GSM30371,GSM30372,GSM30373,GSM30374,ID,Gene Symbol
3158,205813_s_at,0.002206672409046913,0.002150782917569615,0.0008797683444267934,0.0016803521256114238,0.00039275031730675344,0.0003145570106767325,0.0003529620589589456,0.00044633415031663284,0.0013671362794117016,0.0012307866578369522,0.0012810162010872491,0.001635535101967154,0.001429069801653518,0.0015036004181888665,HSPB2
3159,205814_at,0.0036541074298704415,0.0011134103487418462,0.0042982967684851905,0.005245147728123108,0.0010961506031047245,0.0006038280880193226,0.00020878487880615857,0.00029703770979260235,0.000361130337957808,0.0015553657941514757,0.0020937617740459658,0.00036771340913192564,0.0036987688983973407,0.0023728694099543046,PCSK1
3160,205815_at,0.010806922824185484,0.006023278423193695,0.003524100625389612,0.012102617131428028,0.0053121144611998185,0.002398117917410073,0.003175298368553597,0.003024808091867076,0.008310296943719557,0.0034679864765954477,0.00526939017169923,0.004256903086085544,0.00535480860972524,0.007717699021485042,MYOM2
3161,205817_at,0.0011455160594247558,0.0003530325496010732,0.00379054475255887,0.0005986679637805882,0.0002906796133739249,0.00011833816800378683,0.0007453688181483706,9.48654465829777e-05,0.0004428145810673122,0.00048577951273918643,0.0005705366273749933,0.0002661974372856885,0.0003446580109870249,0.0005697235959543751,CCK
3162,205818_at,0.004906183122730058,0.006620718122518588,0.005841661806993908,0.005714557836087432,0.002152360495974864,0.00213312133606826,0.0019871967943700173,0.0030139218930788653,0.008361886991999244,0.002916855459900317,0.005420097960062436,0.004967514889009204,0.004156911864221556,0.004704624745973758,MMP3
3163,205819_at,0.0002486391446813423,0.0004888142994476398,0.0008797683444267934,0.0014694577292796256,0.00024186318975387644,0.0023070885574071605,0.00018770236661400574,0.004096321086878087,0.007080734126387021,0.0018821233139311975,0.000780451046880887,0.0003632015881609818,0.008519777905740237,0.0004992423263517721,HSD17B1
3164,205820_s_at,0.0005105982435420421,0.0013415236884840782,0.001085885499406785,0.001238154197818944,0.0005591699432841914,0.0002740995173421045,0.00017682106999870106,0.00025815842840613606,0.0006276789207361901,0.000524990415112753,0.0007858334678938586,0.0007828009384587619,0.0005842373600877617,0.000634331426423428,CLGN
3165,205821_at,0.14401090460248817,0.14205486668947798,0.1277674998491826,0.13329886457178233,0.028198141425617083,0.011005449624352175,0.006564142183182549,0.015559488410863803,0.02670214915542792,0.030782736746714993,0.025690295494913612,0.004329092221620646,0.23619581618799834,0.011899587684572825,CD2
3166,205824_at,0.0002885990072194152,0.00024983841971768254,0.00033682559472340086,0.0009184110807997659,0.00012869784408921865,8.394929866935304e-05,0.00178997329321762,0.0002612687709170534,0.0009544158931742067,0.000568558084416716,0.0008665697830884332,0.00022333513806172168,0.00021436047024802767,0.0009691174570357927,PART1
3167,205825_at,0.00017315940433164907,0.00041820778952742513,0.00030666210862876795,0.00025851571163252674,0.0009031038369708964,4.8548992001553564e-05,0.0005855497741110831,0.0015427298854149818,0.0006319780914261639,0.0006861907915374158,0.0008611873620754615,0.00027070925825663233,0.00038248632926608865,0.0001468359783387565,GYPA
3168,205826_at,0.13613437169776135,0.10720783840885513,0.12083492529509945,0.01904172307524848,0.004340223845491581,0.015997904301845268,0.0008664232429936353,0.01237138733717357,0.0009802109173140503,0.004228242305949601,0.04644491092093224,0.0011234434217650244,0.10797042666139874,0.0014448660268533639,BZRAP1
3169,205827_at,0.005216982053581736,0.002330014827367083,0.006565585473265098,0.007945956610178717,0.0028757311368901276,0.00022555052534055096,0.0012914738920289744,0.0024214016447491197,0.008469366259248592,0.004195566553971629,0.007513859734108403,0.000746706370691211,0.0013450068721444876,0.005409437441999789,GH1
3170,205828_at,0.005199222114675925,0.005496445233789017,0.003202356773713528,0.007925547475049833,0.0008809145535072381,0.0006584457040210703,0.00015709871988346135,0.0001928412356768727,0.004006827083055679,0.0036052246349029308,0.0030303030303030303,0.003250767009565061,0.0006809097290231467,0.002237780309882649,JAK2
3171,205829_at,0.009901165939989166,0.0005757146193494423,0.0025186510889018488,0.0027960515126570656,0.0013113866527022107,0.0007656580613578344,0.00010473247992230753,0.001158602585316695,0.001397230474241519,0.00013723815830748317,0.0008396576780235751,0.0008572459844793359,0.0016140082465733849,0.0009456237005015918,VNN1
3172,205830_at,0.0022510722563114384,0.0011622917786866102,0.0011311307285487343,0.0026259753865830347,0.001377954503093186,0.00011125810667022693,0.0004740164838042102,0.00014307575550219587,0.0018572417380687267,0.0005707364678819141,0.00026373862963561005,0.0005120916802021295,0.0003236422786097673,0.00135676443985011,CACNA1H
3173,205831_at,0.13346594087716337,0.17477283713250666,0.13572563293048326,0.22125543393222807,0.043468806305306786,0.015172571437818857,0.011073759549187882,0.028700685519489403,0.0588470484043628,0.04482895333031263,0.056224769901501694,0.013032394874571376,0.2488935216903374,0.013996405455250268,PTPRB
3174,205833_s_at,0.0024020317370108245,0.001792319097974679,0.0033883649379637644,0.005694148700958549,0.00040606388738494853,0.0007282348800233035,0.0010738479597228808,0.0005847443920524527,0.0009028258448945199,0.0007863964309365305,0.00024220894558372357,0.0007128677134091318,0.0009919425682065595,0.0009514971396351421,PRSS22
3175,205837_s_at,0.00018203937378455417,0.001086253998772533,0.0,0.0008503806303701536,5.769213700551181e-05,1.2137248000388391e-05,0.00012105442484526457,0.00092221655448698,8.168424310950418e-05,5.0102819699557345e-05,0.0016254911459174337,0.0002549178848583288,0.000449736672873313,0.006125997016292921,GAS2
3176,205839_s_at,0.018963174766678803,0.012692877975657045,0.014473446077741358,0.021334349254726413,0.00536980659820533,0.00174978658672266,0.0003482014916897498,0.0010388543986463788,0.008267305236819818,0.003916733470426266,0.006981000053824211,0.0018814293448835948,0.023222384276869668,0.008933500922129944,GABRB3
3177,205840_x_at,0.0014474350208235284,0.0008527093890364384,0.0010758310040419072,0.002006898287673563,0.00047041280942955785,0.000857698858694113,0.0002876742792671175,0.0004929892879803923,0.0008598341379947808,0.000583806768673103,0.0009796006243608375,0.000534650785056849,0.0010886149371419447,0.0006695720612247296,NME6
3178,205841_at,0.006096099029419338,0.02176853013540156,0.011683323613987814,0.014578925527065915,0.0033439250179733196,0.0005502219093509405,0.0003754047332280115,0.0016531470445525459,0.008374784504069166,0.003219650761562859,0.014839334732762794,0.004699061541238043,0.0071201301294148795,0.010572190440390468,CDK5R2
3179,205844_at,0.009363927788088408,0.00313927405645262,0.005907016026865612,0.00835413931275639,0.004526613826586311,0.004296585792137491,0.004990434660194109,0.030031912114162007,0.03607434125957103,0.00480551392422711,0.10704558910597987,0.01610268904529868,0.011335886044292757,0.2245180843190922,ZBTB7B
3180,205845_at,0.0014563149902764336,0.0011731543186743354,0.0005429427497033925,0.0009728354411434559,0.0012381620172721383,0.00012137248000388393,0.0006372359330337804,0.0002363860308297149,0.001212366134572641,0.0006622285734202363,0.0004575057861025889,0.00021205558563436202,0.0003446580109870249,0.0010161049701041948,TULP3
